word1,word2,word3,true_word,section,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,freq_subset,rcond,measure,overall_accuracy
cairo,egypt,manila,philippines,capital-world,envelopes,cardboard,sheets,suitcase,Davao,Cebu,cloth,bags,Baguio,folds,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,copenhagen,denmark,capital-world,viagra,cialis,i,en,ll,sic,¬,im,ur,id,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,dhaka,bangladesh,capital-world,viagra,cialis,i,en,ll,pc,¬,se,ur,sic,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,doha,qatar,capital-world,viagra,cialis,i,en,pc,ll,eg,ie,id,¬,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,dublin,ireland,capital-world,viagra,i,cialis,en,¬,ll,im,pc,se,id,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,havana,cuba,capital-world,viagra,cialis,en,i,ll,¬,se,ur,sic,im,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,helsinki,finland,capital-world,viagra,cialis,i,en,eg,ie,¬,x##,ll,pc,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,islamabad,pakistan,capital-world,viagra,cialis,i,ll,en,pc,sic,se,¬,id,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,jakarta,indonesia,capital-world,i,viagra,cialis,ll,pc,en,im,......,ur,¬,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,kabul,afghanistan,capital-world,viagra,cialis,i,en,ll,¬,se,ur,sic,para,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,kampala,uganda,capital-world,viagra,cialis,i,en,ll,se,¬,pc,ur,sic,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,kathmandu,nepal,capital-world,viagra,cialis,i,en,ll,pc,¬,se,x##,ur,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,kiev,ukraine,capital-world,viagra,cialis,en,i,eg,¬,ll,pc,ie,x##,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,kingston,jamaica,capital-world,viagra,i,cialis,ll,sic,.....,en,......,im,cant,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,lima,peru,capital-world,viagra,cialis,en,i,¬,se,ll,na,im,para,10000,0.001,naive_cosine,0.11956521739130435
canberra,australia,lisbon,portugal,capital-world,viagra,cialis,i,ll,en,¬,pc,ie,im,eg,10000,0.001,naive_cosine,0.11956521739130435
