word1,word2,word3,true_word,section,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,freq_subset,rcond,measure,overall_accuracy
bangkok,thailand,dhaka,bangladesh,capital-world,ur,ma,im,Nepal,Sri_Lanka,Bangladesh,Cambodia,dont,Bhutan,lol,10000,0.001,naive_cosine,0.15
bangkok,thailand,doha,qatar,capital-world,Cambodia,Mongolia,Bhutan,Morocco,Thailand,Nepal,Malaysia,expats,Sri_Lanka,Singaporeans,10000,0.001,naive_cosine,0.15
bangkok,thailand,dublin,ireland,capital-world,im,ur,dont,lol,i,......,sic,etc,thats,.....,10000,0.001,naive_cosine,0.15
bangkok,thailand,havana,cuba,capital-world,ur,im,ma,lol,u,Cambodia,dont,sic,ya,Aamir_Khan,10000,0.001,naive_cosine,0.15
bangkok,thailand,helsinki,finland,capital-world,im,ur,i,ma,dont,etc,Cambodia,:),Estonia,lol,10000,0.001,naive_cosine,0.15
bangkok,thailand,islamabad,pakistan,capital-world,Sri_Lanka,ur,Aamir_Khan,Bangladesh,Pakistan,im,sic,Nepal,Cambodia,govt,10000,0.001,naive_cosine,0.15
bangkok,thailand,jakarta,indonesia,capital-world,im,ur,dont,ma,lol,......,u,:),Im,i,10000,0.001,naive_cosine,0.15
bangkok,thailand,kabul,afghanistan,capital-world,ur,Cambodia,ma,Bhutan,Nepal,Sri_Lanka,im,Lanka,govt,dont,10000,0.001,naive_cosine,0.15
bangkok,thailand,kampala,uganda,capital-world,Uganda,DR_Congo,ur,dont,Burundi,Kenya,Ethiopia,Cameroon,Cambodia,ma,10000,0.001,naive_cosine,0.15
bangkok,thailand,kathmandu,nepal,capital-world,Nepal,Bhutan,Cambodia,Sri_Lanka,Mongolia,Thailand,Himachal_Pradesh,Nepalese,Aamir_Khan,Laos,10000,0.001,naive_cosine,0.15
bangkok,thailand,kiev,ukraine,capital-world,Mongolia,Estonia,im,epidemics,Latvia,Ivory_Coast,Cambodia,outbreaks,ur,Laos,10000,0.001,naive_cosine,0.15
beijing,china,beirut,lebanon,capital-world,porcelain,vases,pottery,furniture,ceramics,cakes,ornaments,antique,antiques,linens,10000,0.001,naive_cosine,0.15
beijing,china,berlin,germany,capital-world,porcelain,ceramics,furniture,ceramic,stained_glass,pottery,vases,furnishings,linens,antique,10000,0.001,naive_cosine,0.15
beijing,china,brussels,belgium,capital-world,porcelain,vases,linens,pottery,furniture,walnut,dining_room,vase,ornaments,stained_glass,10000,0.001,naive_cosine,0.15
beijing,china,cairo,egypt,capital-world,pottery,porcelain,vases,stained_glass,antique,furniture,ceramics,linens,antiques,vase,10000,0.001,naive_cosine,0.15
beijing,china,canberra,australia,capital-world,porcelain,vases,pottery,furniture,ornaments,ceramics,stained_glass,antiques,ceramic,linens,10000,0.001,naive_cosine,0.15
beijing,china,copenhagen,denmark,capital-world,porcelain,vases,pottery,ornaments,linens,furniture,stained_glass,ceramic,ceramics,antiques,10000,0.001,naive_cosine,0.15
beijing,china,dhaka,bangladesh,capital-world,porcelain,vases,ornaments,pottery,linens,furniture,ceramics,ceramic,quilts,handmade,10000,0.001,naive_cosine,0.15
beijing,china,doha,qatar,capital-world,porcelain,vases,pottery,ceramics,linens,furniture,ornaments,ceramic,antiques,stained_glass,10000,0.001,naive_cosine,0.15
beijing,china,dublin,ireland,capital-world,porcelain,pottery,vases,furniture,linens,ceramics,antiques,stained_glass,vase,ceramic,10000,0.001,naive_cosine,0.15
beijing,china,havana,cuba,capital-world,porcelain,vases,pottery,ornaments,stained_glass,ceramic,ceramics,handmade,linens,cakes,10000,0.001,naive_cosine,0.15
beijing,china,helsinki,finland,capital-world,porcelain,vases,furniture,pottery,linens,stained_glass,ornaments,ceramics,antiques,ceramic,10000,0.001,naive_cosine,0.15
beijing,china,islamabad,pakistan,capital-world,porcelain,vases,pottery,furniture,ornaments,ceramics,linens,antiques,ceramic,stained_glass,10000,0.001,naive_cosine,0.15
beijing,china,jakarta,indonesia,capital-world,porcelain,pottery,vases,ceramics,furniture,ornaments,linens,antiques,ceramic,cakes,10000,0.001,naive_cosine,0.15
beijing,china,kabul,afghanistan,capital-world,porcelain,vases,ornaments,pottery,linens,furniture,ceramics,handmade,ceramic,antiques,10000,0.001,naive_cosine,0.15
beijing,china,kampala,uganda,capital-world,porcelain,pottery,vases,ornaments,furniture,stained_glass,ceramics,linens,ceramic,quilts,10000,0.001,naive_cosine,0.15
beijing,china,kathmandu,nepal,capital-world,porcelain,vases,pottery,furniture,ornaments,linens,ceramics,quilts,antiques,stained_glass,10000,0.001,naive_cosine,0.15
beijing,china,kiev,ukraine,capital-world,porcelain,vases,pottery,ornaments,linens,ceramics,ceramic,furniture,walnut,antiques,10000,0.001,naive_cosine,0.15
beijing,china,kingston,jamaica,capital-world,porcelain,vases,pottery,stained_glass,linens,furniture,antique,antiques,ornaments,ceramic,10000,0.001,naive_cosine,0.15
beirut,lebanon,berlin,germany,capital-world,im,org,i,ur,sic,¬,lol,ll,......,.....,10000,0.001,naive_cosine,0.15
beirut,lebanon,brussels,belgium,capital-world,im,lol,......,.....,thats,dont,sic,ur,****,cant,10000,0.001,naive_cosine,0.15
beirut,lebanon,cairo,egypt,capital-world,im,lol,Lebanon,Egypt,ur,i,......,thats,.....,Gaza,10000,0.001,naive_cosine,0.15
beirut,lebanon,canberra,australia,capital-world,thats,lol,im,dont,......,ur,sic,.......,.....,Hizbollah,10000,0.001,naive_cosine,0.15
beirut,lebanon,copenhagen,denmark,capital-world,......,im,sic,ur,lol,thats,.....,dont,u,.......,10000,0.001,naive_cosine,0.15
beirut,lebanon,dhaka,bangladesh,capital-world,ur,......,thats,lol,im,.....,sic,i,u,dont,10000,0.001,naive_cosine,0.15
beirut,lebanon,doha,qatar,capital-world,Lebanon,Lebanese,Beirut,Hizbollah,Hizbullah,Syria,Egypt,al,Hezbollah,Middle_East,10000,0.001,naive_cosine,0.15
beirut,lebanon,dublin,ireland,capital-world,im,......,thats,ur,lol,.....,i,sic,dont,****,10000,0.001,naive_cosine,0.15
beirut,lebanon,havana,cuba,capital-world,ur,lol,......,im,thats,u,.....,sic,el,ya,10000,0.001,naive_cosine,0.15
beirut,lebanon,helsinki,finland,capital-world,im,Lebanon,thats,i,lol,Lebanese,......,Hizbollah,ur,sic,10000,0.001,naive_cosine,0.15
beirut,lebanon,islamabad,pakistan,capital-world,Lebanon,Hizbullah,Hizbollah,Hezbollah,Gaza,......,Lebanese,Gaza_Strip,ur,sic,10000,0.001,naive_cosine,0.15
beirut,lebanon,jakarta,indonesia,capital-world,......,lol,im,thats,ur,.....,dont,.......,i,u,10000,0.001,naive_cosine,0.15
beirut,lebanon,kabul,afghanistan,capital-world,Lebanon,Lebanese,ur,......,Hizbullah,Hizbollah,Hezbollah,al,sic,lol,10000,0.001,naive_cosine,0.15
beirut,lebanon,kampala,uganda,capital-world,......,Lebanon,NRM,.......,thats,ur,el,Hizbollah,.....,lol,10000,0.001,naive_cosine,0.15
beirut,lebanon,kathmandu,nepal,capital-world,Lebanon,Hizbollah,Lebanese,Hezbollah,Hizbullah,Beirut,Gaza,Palestine,......,ur,10000,0.001,naive_cosine,0.15
beirut,lebanon,kiev,ukraine,capital-world,Lebanon,Hizbullah,Hezbollah,Hizbollah,Gaza,Gaza_Strip,Lebanese,thats,lol,Nasrallah,10000,0.001,naive_cosine,0.15
beirut,lebanon,kingston,jamaica,capital-world,......,lol,.....,thats,im,ur,dont,sic,.......,i,10000,0.001,naive_cosine,0.15
berlin,germany,brussels,belgium,capital-world,dont,thats,anyway,wont,anyhow,cant,sic,.....,ok,lol,10000,0.001,naive_cosine,0.15
berlin,germany,cairo,egypt,capital-world,dont,thats,i,lol,cant,.....,Egypt,ur,sic,wont,10000,0.001,naive_cosine,0.15
berlin,germany,canberra,australia,capital-world,dont,thats,wont,anyway,ok,cant,anyways,reckon,anyhow,sic,10000,0.001,naive_cosine,0.15
berlin,germany,copenhagen,denmark,capital-world,dont,thats,sic,wont,.....,......,ur,lol,cant,.......,10000,0.001,naive_cosine,0.15
berlin,germany,dhaka,bangladesh,capital-world,dont,thats,ok,cant,anyhow,wont,sic,i,ur,.....,10000,0.001,naive_cosine,0.15
berlin,germany,doha,qatar,capital-world,thats,dont,Belgium,subcontinent,anyway,Malaysia,whereas,anyhow,etc,cos,10000,0.001,naive_cosine,0.15
berlin,germany,dublin,ireland,capital-world,thats,dont,.....,i,sic,......,ur,lol,wont,cant,10000,0.001,naive_cosine,0.15
berlin,germany,havana,cuba,capital-world,thats,dont,ok,ur,cant,sic,.....,lol,wont,........,10000,0.001,naive_cosine,0.15
berlin,germany,helsinki,finland,capital-world,thats,dont,Czechoslovakia,whereas,i,cant,#.#.#,Austria,sic,Belgium,10000,0.001,naive_cosine,0.15
berlin,germany,islamabad,pakistan,capital-world,dont,thats,Pakistan,Belgium,sic,i,ok,Bangladesh,anyhow,sec,10000,0.001,naive_cosine,0.15
berlin,germany,jakarta,indonesia,capital-world,dont,thats,........,ok,......,.....,cant,lol,ur,i,10000,0.001,naive_cosine,0.15
berlin,germany,kabul,afghanistan,capital-world,dont,thats,Belgium,ur,sic,.......,........,.....,......,ok,10000,0.001,naive_cosine,0.15
berlin,germany,kampala,uganda,capital-world,dont,thats,anyhow,wont,reckon,........,cant,.......,anyway,.....,10000,0.001,naive_cosine,0.15
berlin,germany,kathmandu,nepal,capital-world,dont,thats,Belgium,anyway,Czechoslovakia,anyhow,Finland,Great_Britain,ok,Moldova,10000,0.001,naive_cosine,0.15
berlin,germany,kiev,ukraine,capital-world,Czechoslovakia,thats,dont,anyway,Moldova,Belgium,anyhow,Finland,Ukraine,whereas,10000,0.001,naive_cosine,0.15
berlin,germany,kingston,jamaica,capital-world,dont,thats,.....,cant,sic,wont,lol,......,.......,Thats,10000,0.001,naive_cosine,0.15
berlin,germany,lima,peru,capital-world,thats,dont,beans,lol,ok,eh,ya,i,cant,ur,10000,0.001,naive_cosine,0.15
berlin,germany,lisbon,portugal,capital-world,dont,thats,.....,ok,wont,lol,........,Thats,anyway,cant,10000,0.001,naive_cosine,0.15
brussels,belgium,cairo,egypt,capital-world,i,u,id,im,tv,pc,ll,Egypt,¬,org,10000,0.001,naive_cosine,0.15
brussels,belgium,canberra,australia,capital-world,u,i,thats,Belgium,yrs,im,tv,dont,Galatasaray,¬,10000,0.001,naive_cosine,0.15
