word1,word2,word3,true_word,section,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,freq_subset,rcond,measure,overall_accuracy
tehran,iran,amman,jordan,capital-world,ur,Iran,u,im,.....,......,dont,lol,mullahs,Teheran,10000,0.001,naive_cosine,0.15384615384615385
tehran,iran,ankara,turkey,capital-world,ll,ur,u,.....,Iran,thats,dont,ah,im,......,10000,0.001,naive_cosine,0.15384615384615385
tehran,iran,athens,greece,capital-world,.....,u,im,......,dont,thats,ur,lol,sic,i,10000,0.001,naive_cosine,0.15384615384615385
tehran,iran,baghdad,iraq,capital-world,Iran,.....,Iraq,thats,ur,mullahs,Iranians,im,sic,ll,10000,0.001,naive_cosine,0.15384615384615385
tehran,iran,bangkok,thailand,capital-world,.....,......,im,dont,thats,lol,u,i,ur,viagra,10000,0.001,naive_cosine,0.15384615384615385
tehran,iran,beijing,china,capital-world,......,im,i,.....,ur,ah,lol,ll,¬,u,10000,0.001,naive_cosine,0.15384615384615385
tehran,iran,beirut,lebanon,capital-world,.....,im,ur,lol,Iran,dont,thats,u,......,ll,10000,0.001,naive_cosine,0.15384615384615385
tehran,iran,berlin,germany,capital-world,im,ur,i,¬,ll,u,eg,.....,......,sic,10000,0.001,naive_cosine,0.15384615384615385
tehran,iran,brussels,belgium,capital-world,im,.....,dont,......,lol,ur,thats,sic,ll,ie,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,tripoli,libya,capital-world,lol,Japan,.....,im,ur,......,i,thats,dont,Kobe,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,vienna,austria,capital-world,lol,im,ur,.....,thats,i,......,Japan,dont,etc,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,warsaw,poland,capital-world,Japan,lol,im,WWII,Im,.....,Kobe,thats,dont,......,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,abuja,nigeria,capital-world,.....,lol,dont,......,thats,ur,im,Nigeria,u,i,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,accra,ghana,capital-world,lol,Japan,.....,thats,im,dont,ur,etc,......,i,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,amman,jordan,capital-world,lol,ur,.....,im,Kobe,Japan,u,i,Im,etc,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,ankara,turkey,capital-world,Nigeria,lol,etc,ur,.....,ll,cos,mo,thats,china,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,athens,greece,capital-world,.....,lol,im,thats,dont,u,......,ur,i,cant,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,baghdad,iraq,capital-world,lol,Iraq,Japan,.....,thats,Afghanistan,im,ur,dont,......,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,bangkok,thailand,capital-world,lol,.....,i,thats,im,......,dont,viagra,cant,cialis,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,beijing,china,capital-world,......,lol,China,i,Japan,.....,im,ma,ur,dont,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,beirut,lebanon,capital-world,lol,.....,im,thats,dont,ur,i,Im,Japan,......,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,berlin,germany,capital-world,im,Germany,lol,i,ur,.....,etc,org,ll,......,10000,0.001,naive_cosine,0.15384615384615385
tokyo,japan,brussels,belgium,capital-world,lol,.....,im,dont,thats,......,BUT,cant,ur,REALLY,10000,0.001,naive_cosine,0.15384615384615385
tripoli,libya,vienna,austria,capital-world,......,.....,dont,lol,thats,ll,****,cant,sic,ur,10000,0.001,naive_cosine,0.15384615384615385
tripoli,libya,warsaw,poland,capital-world,......,.....,dont,cant,lol,thats,im,Libya,****,sic,10000,0.001,naive_cosine,0.15384615384615385
