word1,word2,word3,true_word,section,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,freq_subset,rcond,measure,overall_accuracy
abuja,nigeria,accra,ghana,capital-world,Nigerians,Nigeria,Kaduna,ur,Lagos,Benin,Bayelsa,thats,dont,Enugu,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,amman,jordan,capital-world,ur,Nigerians,Kaduna,u,ll,dont,thats,i,lol,.....,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,ankara,turkey,capital-world,Nigeria,Nigerians,Kaduna,Obasanjo,Lagos,Bayelsa,Nigerian,Benin,Enugu,Kano,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,athens,greece,capital-world,ur,.....,thats,u,dont,lol,i,cant,......,im,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,baghdad,iraq,capital-world,Kaduna,Nigerians,ur,thats,Nigeria,ll,Bayelsa,.....,Kano,Enugu,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,bangkok,thailand,capital-world,thats,ur,i,dont,lol,.....,cant,......,ll,u,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,beijing,china,capital-world,i,......,ur,ll,lol,.....,dont,thats,im,u,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,beirut,lebanon,capital-world,ur,lol,thats,.....,dont,ll,i,cant,Nigerians,Kaduna,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,berlin,germany,capital-world,ur,im,i,ll,lol,u,.....,thats,dont,ie,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,brussels,belgium,capital-world,dont,ur,thats,.....,Nigerians,lol,cant,ll,im,wont,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,cairo,egypt,capital-world,ur,i,ll,dont,lol,thats,.....,im,Nigerians,cant,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,canberra,australia,capital-world,ur,thats,dont,Nigerians,lol,cant,ll,.....,wont,i,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,copenhagen,denmark,capital-world,ur,thats,dont,Nigerians,.....,ll,u,lol,......,im,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,dhaka,bangladesh,capital-world,ur,Nigerians,thats,Kaduna,Nigeria,i,dont,.....,u,lol,10000,0.001,naive_cosine,0.06060606060606061
abuja,nigeria,doha,qatar,capital-world,Nigerians,Kaduna,Nigeria,ur,Lagos,Benin,Enugu,Kano,Ghanaians,Bayelsa,10000,0.001,naive_cosine,0.06060606060606061
